"wp_id","slug","name","developer","community","completion_date","project_price","project_status","amenities_title","amenities_content","amenities_count","types_count","types_title","payment_count","payment_title","payments_accept_title","overview_content","archive_name","view_count"
"18197","creek-gate-apartments-at-emaar-creek-beach","Creek Gate at Dubai Creek Harbour","Emaar Properties","Dubai Creek Harbour",,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>60/40 Payment Plan</li>
 	<li>Location - Emaar Creek Beach</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Creek Gate - Emaar Creek Beach","2847"
"18205","urbana-3-at-emaar-south-by-emaar","Urbana 3 Townhouses at Dubai South","Emaar Properties","Dubai South",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li class=""detail-city"">2 &amp; 3 BR Townhouses</li>
 	<li>75% Payment Plan</li>
 	<li>Starting from AED 1,108,888</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Urbana 3 - Emaar South","4382"
"18214","golf-link-villas-at-emaar-south","Golf Link Villas at Dubai South","Emaar Properties","Dubai South",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>3, 4 &amp; 5 BR Townhouses</li>
 	<li>3 Years Post Handover</li>
 	<li>Starting from AED 2,596,888</li>
 	<li>Location - Emaar South</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Golf Link - Emaar South","3185"
"18220","acacia-apartments-at-dubai-hills-estate","Acacia Apartments at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>20/80 Payment Plan</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Acacia - Dubai Hills Estate","3482"
"18227","dubai-creek-residences-by-emaar-at-dubai-creek-harbour","Dubai Creek Residences at Dubai Creek Harbour","Emaar Properties","Dubai Creek Harbour",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>Starting from AED 1,574,888</li>
 	<li>Location - Dubai Creek Harbour</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Dubai Creek Residences - Dubai Creek Harbour","2664"
"18234","harbour-views-at-dubai-creek-harbour","Harbour Views by Emaar at Dubai Creek Harbour","Emaar Properties","Dubai Creek Harbour",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bedroom Apartment</li>
 	<li>50/50 Payment Plan</li>
 	<li>Starting from AED 1,274,888</li>
 	<li>Location - Dubai Creek Harbour</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Harbour Views by Emaar","3235"
"18237","golf-views-in-emaar-south","Golf Views Apartments at Emaar South","Emaar Properties","Dubai South",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartments</li>
 	<li>25/75,  3 Years Post-Handover</li>
 	<li>Starting from AED 715,888</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Golf Views - Emaar South","3540"
"18241","grande-by-emaar-at-the-opera-district","Grande at The Opera District","Emaar Properties","Downtown dubai",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment</li>
 	<li>4 BR Penthouse</li>
 	<li>Starting from AED 1,542,888</li>
 	<li>Location - Downtown Dubai</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Grande Apartments by Emaar","2952"
"18275","park-heights-apartments-at-dubai-hills-estate","Park Heights by Emaar at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>25/75 Payment Plan</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Park Heights by Emaar","3757"
"18289","cove-at-dubai-creek-harbour-by-emaar","Cove at Dubai Creek Harbour","Emaar Properties","Akoya Damac Hills",NULL,,"New Launch",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment</li>
 	<li>25/75 Payment Plan</li>
 	<li>Starting from AED 1.5 M</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Cove at Dubai Creek Harbour","4197"
"18324","sunrise-bay-apartments-at-emaar-beachfront","Sunrise Bay Apartments at Emaar Beachfront","Emaar Properties","Emaar Beachfront",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartments</li>
 	<li>80/20 Payment Plan</li>
 	<li>Location - Emaar Beach front</li>
 	<li>Starting from AED 2,584,888</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Sunrise Bay at Emaar Beachfront","4658"
"18335","golf-place-ii-villas-by-emaar-at-dubai-hills-estate","Golf Place II Villas by Emaar at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>4, 5 &amp; 6 BR Villas</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 20,054,888</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Golf Place II Villas by Emaar at Dubai Hills Estate","3467"
"18346","villanova-la-rosa-by-dubai-properties","Villanova La Rosa Villas by Dubai Properties","Dubai Properties","Dubailand",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 BR Villa</li>
 	<li>50/50 Payment Plan</li>
 	<li>Starting from AED 990K</li>
 	<li>Location - La Rosa</li>
 	<li>Developed by Dubai Properties</li>
</ul>","Villanova La Rosa Villas","3747"
"18363","bvlgari-marina-lofts","Bvlgari Marina Lofts at Jumeirah Bay","Meraas","Jumeirah Bay Island",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>2, 3 &amp; 4 BR Apartment</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 11.2 M</li>
 	<li>Area - Jumeirah Bay</li>
 	<li>Developed by Meraas Properties</li>
</ul>","Bvlgari Marina Lofts - Jumeirah Bay","3397"
"18373","eden-villas-at-the-valley-emaar-properties","Eden Villa at The Valley","Emaar Properties","The Valley Dubai",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 BR Villa</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 1,498,888</li>
 	<li>Location - The Valley</li>
 	<li>Developed by Emaar properties</li>
</ul>","Eden Villas - The Valley","3887"
"18383","the-valley-townhouse-by-emaar","The Valley Townhouse & Villas for Sale & Rent in Al Yufrah 1 by Emaar","Select Developer",NULL,NULL,NULL,"Select Status",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>3 &amp; 4 Bed Villa</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 1,168,888</li>
 	<li>Location - The Valley</li>
 	<li>Developed by Emaar Properties</li>
</ul>","The Valley - Al Yufrah 1","3654"
"18389","la-vie-at-apartments-at-jbr","La Vie Apartments at JBR","Dubai Properties","JBR",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 Bed Apartment</li>
 	<li>40/60 Payment Plan</li>
 	<li>Starting from AED 1.35 M</li>
 	<li>Location -  Jumeirah Beach</li>
 	<li>Developed by Dubai Properties</li>
</ul>","La Vie Apartments at JBR","3853"
"18403","ruba-townhouses-at-arabian-ranches","Ruba Townhouses at Arabian Ranches 3","Emaar Properties","Arabaian Ranches 3",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 Bed Townhouses</li>
 	<li>Completion Date Q4 - 2023</li>
 	<li>Starting from AED 1.79 M</li>
 	<li>Area - Arabian Ranches</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Ruba Townhouses - Arabian Ranches","3560"
"18416","emerald-hills-plots-at-dubai-hills-estate","Emerald Hills Plots at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>4 Years Payment Plan</li>
 	<li>Starting from AED 9.317 M</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Emerald Hills Plots at Dubai Hills Estate","3054"
"18424","loreto-apartments-and-townhouses-at-damac-hills","Loreto by Damac at Damac Hills","Damac Properties","Damac Hills",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartment</li>
 	<li>Easy and Flexible Payment Plan</li>
 	<li>Starting from AED 819,000</li>
 	<li>Location - Damac Hills</li>
 	<li>Developed by Damac Properties</li>
</ul>","Loreto by Damac - Apartments  & Townhouses","3331"
"18435","bellavista-apartments-at-damac-hills","Bellavista Apartments at Damac Hills","Damac Properties","Damac Hills",NULL,NULL,"New Launch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1 &amp; 2 BR Apartments</li>
 	<li>20/80 Payment plan</li>
 	<li>Starting from AED 477,777</li>
 	<li>Location - Damac Hills</li>
 	<li>Developed by Damac Properties</li>
</ul>","Bellavista - Damac Hills","3277"
"18443","sirdhana-at-mina-rashid-dubai","Sirdhana by Emaar at Mina Rashid Dubai","Emaar Properties","Mina Rashid",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bed Apartment</li>
 	<li>4 Bedroom Penthouse</li>
 	<li>60/40 Payment plan</li>
 	<li>Starting from AED 999,888</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Sirdhana - Mina Rashid Dubai","3294"
"18457","la-rosa-ii-at-villanova","La Rosa II Villas at Villanova Dubai","Dubai Properties","Dubailand",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 Bed Villa</li>
 	<li>50/50 Payment plan</li>
 	<li>Starting from AED 1.28 M</li>
 	<li>Completion date Q1 - 2022</li>
 	<li>Developed by Dubai Properties</li>
</ul>","La Rosa II - Villanova","3388"
"18464","seashore-at-mina-rashid-dubai","Seashore by Emaar at Mina Rashid Dubai","Emaar Properties","Mina Rashid",NULL,,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bed Apartments</li>
 	<li>60/40 Payment Plan</li>
 	<li>Downpayment with 5%</li>
 	<li>Starting from AED 999,888</li>
 	<li>Location - Mina Rashid</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Seashore by Emaar Mina Rashid Dubai","3135"
"18487","bluewaters-residences-building-9","Meraas Bluewaters Building 9","Meraas","Bluewaters island",NULL,,"New Launch",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bed Apartments</li>
 	<li>20/80 Payment Plan</li>
 	<li>Downpayment with 10%</li>
 	<li>Starting from AED 2.3 M</li>
 	<li>Developed by Meraas Properties</li>
</ul>","Bluewaters Residences Building 9","4308"
"18501","expo-golf-villas-5-emaar-south","Expo Golf Villas Phase 5","Emaar Properties","Emaar South",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 Bed Villa</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 1,756,888</li>
 	<li>Location - Emaar South</li>
 	<li>Developed by Emaar</li>
</ul>","Expo Golf Villas Phase 5","3032"
"18511","surf-at-creek-beach","Surf by Emaar at Creek Beach Dubai","Emaar Properties","Dubai Creek Harbour",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bed Apartment</li>
 	<li>60/40 Payment Plan</li>
 	<li>Downpayment with 10%</li>
 	<li>Starting from AED 2,352,888</li>
 	<li>Location - Dubai Creek Harbour</li>
 	<li>Developed by Emaar</li>
</ul>","Surf by Emaar at Creek Beach","3075"
"18528","mina-rashid-at-port-rashid","Mina Rashid Apartments at Port Rashid","Emaar Properties","Port Rashid",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 Bed Apartment</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 999,888</li>
 	<li>Location - Mina Rashid</li>
 	<li>Developed by Emaar</li>
</ul>","Mina Rashid - Port Rashid","4319"
"18531","creek-edge-villas-apartments","Creek Edge by Emaar at Dubai Creek Harbour","Emaar Properties","Akoya Damac Hills",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bed Apartment &amp; Townhouses</li>
 	<li>Location - Dubai Creek Harbour</li>
 	<li>60/40 Payment Plan</li>
 	<li>Booking with 10%</li>
 	<li>Starting from AED 988,888</li>
 	<li>Developed by Emaar</li>
</ul>","Creek Edge by Emaar at Dubai Creek Harbour","3193"
"18552","bluewaters-building-5-at-jbr","Bluewaters Building 5 by Meraas","Meraas","Bluewaters island",,"5200000","Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 Bed Apartment</li>
 	<li>20/80 Post Handover Payment Plan</li>
 	<li>10% Downpayment</li>
 	<li>Starting From AED 2.2 M</li>
 	<li>Developed by Meraas Properties</li>
</ul>","Bluewaters Building 5 - JBR","2829"
"18554","elie-saab-tower-at-emaar-beachfront","Elie Saab Apartments for Sale & Rent at Emaar Beachfront Dubai","Emaar Properties","Akoya Damac Hills",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 Bedroom Apartments</li>
 	<li>Starting Price AED 1,722,888</li>
 	<li>Area Dubai Harbour</li>
 	<li class=""detail-country"">Payment Plan 70/30, 2 Yrs Post-Handover</li>
 	<li class=""detail-country"">Completion Date Q2-2023</li>
</ul>","Elie Saab - Emaar Beachfront","3764"
"18566","majestic-vistas","Majestic Vistas by Emaar at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>5 &amp; 6 Bed Villa</li>
 	<li>60/40 Payment Plan</li>
 	<li>Downpayment with 5%</li>
 	<li>Starting from AED 14,550,888</li>
</ul>","Majestic Vistas by Emaar at Dubai Hills Estate","3113"
"18580","golfville-apartments-at-dubai-hills-estate","Golfville by Emaar Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1 &amp; 2 Bed Apartment</li>
 	<li>60/40 Payment plan</li>
 	<li>Down Payment with 10%</li>
 	<li>Starting from AED 771,888</li>
 	<li>Location - Dubai Hills Estate</li>
</ul>","Golfville by Emaar at Dubai Hills Estate","3606"
"18594","joy-townhouses-at-arabian-ranches-3","Joy Townhouses by Emaar at Arabian Ranches 3","Emaar Properties","Arabian ranches",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 Bed Townhouse</li>
 	<li>Starting from AED 2,275,888</li>
 	<li>Down Payment with 10%</li>
 	<li>Location - Arabian Ranches 3</li>
</ul>","Joy - Arabian Ranches 3","3423"
"18606","marsa-al-arab","Marsa Al Arab Villas at Jumeirah","Dubai Properties","Palm jumeirah",NULL,,"New Launch",,,,,,,,,"<ul class=""live"">
 	<li>6 Bedroom Villas</li>
 	<li>Downpayment with 10%</li>
 	<li>60/40 Payment plan</li>
 	<li>Developed by Dubai Properties</li>
 	<li>Location - Jumeirah</li>
 	<li>Completion date Q4 - 2021</li>
</ul>","Marsa Al Arab Quay Wall Villas Jumeirah","6311"
"18612","sun-townhouses-at-arabian-ranches-3","Sun Townhouses at Arabian Ranches 3","Emaar Properties","Arabaian Ranches 3",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>3 &amp; 4 BR Townhouse</li>
 	<li>Downpayment with 10%</li>
 	<li>Starting from AED 1,200,888</li>
 	<li>Location - Arabian Ranches 3</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Sun Townhouses at Arabian Ranches 3","5429"
"18626","golf-suites-apartments-at-dubai-hills-estate","Golf Suites Apartments for Sale & Rent at Dubai Hills Estate","Emaar Properties","Akoya Damac Hills",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment</li>
 	<li>60/40 Payment plan</li>
 	<li>Down Payment with 10%</li>
 	<li>Starting from AED 1,089,888</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar</li>
</ul>","Golf Suites - Dubai Hills Estate","3117"
"18646","amalfi-villas-by-meraas","AMALFI Villas for Sale & Rent at Jumeirah Bay By Meraas","Meraas",NULL,NULL,NULL,"New Launch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>3, 4 &amp; 5 BR Apartment</li>
 	<li>40/60 Payment plan</li>
 	<li>Downpayment with 5%</li>
 	<li>Starting from AED 4,990,000</li>
 	<li>Developed by Meraas</li>
</ul>","Amalfi Villas - Jumeira Bay","3016"
"18654","sunset-apartments-at-creek-beach-dubai","Sunset Apartments by Emaar at Dubai Creek Harbour","Emaar Properties","Dubai Creek Harbour",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartment</li>
 	<li>60/40 Payment plan</li>
 	<li>Down Payment with 5%</li>
 	<li>Starting from AED 2,433,888</li>
 	<li>Location - Dubai Creek Harbour</li>
 	<li>Developed by Emaar</li>
</ul>","Sunset Apartments by Emaar","3209"
"18671","burj-royale-apartments-downtown-dubai","Burj Royale Apartments for Sale & Rent at Downtown Dubai","Emaar Properties","Akoya Damac Hills",NULL,,"New Launch",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>2 Yrs Post-Handover Payment plan</li>
 	<li>Starting from AED 961,888</li>
 	<li>Location - Downtown Dubai</li>
 	<li>Developed by Emaar</li>
</ul>","Burj Royale - Downtown Dubai","3163"
"18684","maple-townhouses-dubai-hills-estate","Maple Townhouses for Sale & Rent at Dubai Hills Estate","Emaar Properties","Akoya Damac Hills",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>3, 4 &amp; 5 BR Townhouse</li>
 	<li>25/75 Payment plan</li>
 	<li>Down Payment with 10%</li>
 	<li>Starting from AED 2,440,888</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar</li>
</ul>","Maple - Dubai Hills Estate","4198"
"18695","breeze-apartments-dubai-creek-harbour","Breeze Apartments for Sale & Rent at Dubai Creek Harbour","Emaar Properties","Akoya Damac Hills",NULL,,"New Launch",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartment</li>
 	<li>2 Yrs Post Handover Payment plan</li>
 	<li>Down Payment with 10%</li>
 	<li>Starting from AED 3,212,888</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Breeze - Dubai Creek Harbour","2793"
"18707","sama-townhouses-by-nshama","Sama Townhouses for Sale & Rent at Town Square Dubai By Nshama","Nshama",NULL,NULL,NULL,"Ready to Move",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>3 &amp; 4 BR Townhouse</li>
 	<li>50/50 Payment plan</li>
 	<li>Down Payment with 5%</li>
 	<li>Starting from AED 988,888</li>
 	<li>Developed by Nshama</li>
</ul>","Sama Townhouses - Town Square Dubai","3004"
"18717","lawnz-residence-international-city","Lawnz Residence by Danube","Danube Properties","International City Dubai",,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1 and 2 BR Apartments</li>
 	<li>49/51 Payment plan</li>
 	<li>Down Payment with 10%</li>
 	<li>Starting from AED 320,000</li>
 	<li>Developed by Danube Properties</li>
</ul>","Lawnz Residence by Danube at International City Dubai","4107"
"18740","bluewaters-residences-by-meraas","Meraas Bluewaters Residences at Bluewaters Island, Dubai","Meraas","Bluewaters island",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartments</li>
 	<li>20/80 Payment plan</li>
 	<li>Down Payment with 10%</li>
 	<li>Location - JBR</li>
 	<li>Developed by Meraas Properties</li>
</ul>","Bluewaters Residences - Bluewaters Island Dubai","3104"
"18763","one-palm-by-omniyat","Luxury Apartments for Sale at One Palm Jumeirah Dubai by Omniyat","OMNIYAT","Palm jumeirah",NULL,,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>3, 4 &amp; 5 Bed Apartments</li>
 	<li>60/40 Payment Plan</li>
 	<li>Booking with 20%</li>
 	<li>Starting price 13 M</li>
 	<li>Developed by Omniyat</li>
</ul>","One at Palm Jumeirah Dubai","11145"
"18782","seven-city-apartments-jlt","Seven City Apartments at JLT Dubai","Seven Tides","JLT",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment</li>
 	<li>50/50 Payment plan</li>
 	<li>Completion date Q2 - 2022</li>
 	<li>Starting price AED 398,888</li>
 	<li>Location - JLT</li>
</ul>","Seven City Apartments at JLT","4004"
"18802","elan-townhouses-at-tilal-al-ghaf","Elan Townhouses for Sale & Rent at Tilal Al Ghaf","Majid Al Futtaim",NULL,NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>3 &amp; 4 BR Townhouse</li>
 	<li>6 Years Payment Plan</li>
 	<li>Starting from AED 1,289,000</li>
 	<li>Location - Tilal al Ghaf</li>
 	<li>Developed by Majid Al Futtaim</li>
</ul>","Elan Townhouses - Tilal Al Ghaf","4533"
"18810","azizi-riviera-apartments-at-meydan","Azizi Riviera Apartments at Meydan MBR City Dubai","Azizi Developments",NULL,NULL,NULL,"New Launch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment &amp; Studio</li>
 	<li>30/70 Payment plan</li>
 	<li>Completion Date  Q4 - 2020</li>
 	<li>Location - Meydan</li>
 	<li>Developed by Azizi Properties</li>
</ul>","Azizi Riviera - Meydan","5283"
